"","character(0)"
"expressway",1
"ext",45
"extend",1
"extint",1
"extra",1
"extrem",2
"eye",22
"eyebal",2
"eyelid",1
"face",23
"facial",1
"fact",6
"factor",1
"fade",3
"failur",1
"fair",1
"fairi",1
"fall",5
"famili",15
"famous",1
"fanfar",1
"far",5
"farm",1
"farran",1
"fart",1
"fascin",1
"fast",2
"faster",3
"fat",2
"father",5
"fatigu",1
"favor",1
"favorit",1
"fbfuckingi",1
"fbi",15
"fbis",1
"fear",1
"feather",1
"feb",29
"fed",5
"feder",9
"fee",1
"feed",2
"feedback",1
"feel",12
"feet",11
"feign",1
"feinberg",9
"fell",1
"felt",4
"femal",1
"feng",1
"feroci",2
"ferrari",8
"fidgeti",1
"fiend",1
"fifteen",4
"fifti",6
"fight",7
"fighter",1
"figur",12
"file",5
"fill",2
"film",2
"final",11
"financ",1
"financi",5
"find",8
"fine",8
"finest",1
"finger",5
"finish",6
"finit",1
"fire",7
"firefight",1
"fireplac",1
"firm",15
"first",28
"fish",6
"fishbowl",1
"fit",2
"five",10
"flag",1
"flair",1
"flame",1
"flare",1
"flash",6
"flashback",2
"flat",1
"fleet",1
"fleme",2
"flew",3
"flex",3
"fli",8
"flicker",1
"flight",2
"fling",1
"flip",6
"flipflop",1
"flit",1
"float",1
"floodlight",1
"floor",9
"flourish",1
"flower",1
"fluffi",1
"fluid",1
"fock",3
"focus",3
"fogel",11
"fold",2
"folk",1
"follow",12
"followth",1
"food",4
"foot",3
"footag",2
"footbal",1
"forb",7
"forbid",1
"forc",5
"foreign",2
"forev",1
"forger",1
"forget",3
"forgotten",1
"form",1
"former",2
"forth",1
"fortun",1
"fortythirti",1
"forward",2
"found",2
"founder",1
"fountain",1
"four",13
"fourhundredandthirtythousand",1
"fourth",1
"foyer",2
"frame",5
"franc",1
"frank",1
"frankenstein",1
"frantic",1
"fraud",6
"freak",3
"free",3
"freedom",1
"freez",3
"french",2
"frenzi",3
"fresh",2
"friend",25
"friendship",1
"front",6
"froth",1
"frown",1
"frozen",2
"fuck",146
"fuckedup",1
"fucker",2
"fuckfac",2
"fuckin",16
"fuckingmoney",1
"fucknut",1
"fuckup",1
"fuh",1
"full",12
"fulli",1
"fulltim",1
"function",1
"fund",1
"funer",2
"funni",1
"furious",2
"furnitur",7
"furrow",1
"fuse",1
"futur",7
"fyi",1
"gadget",1
"gag",1
"gale",4
"gall",1
"gambl",1
"game",3
"garag",8
"garbag",2
"gasp",1
"gate",1
"gaug",1
"gave",7
"gavel",1
"gay",3
"gazebo",1
"gear",1
"gekko",1
"gene",8
"general",1
"generat",1
"generous",1
"genev",5
"geneva",7
"genius",1
"gentlemen",3
"german",3
"gestapo",1
"gesticul",1
"gestur",3
"get",93
"giant",7
"gianthead",1
"giddi",1
"gift",2
"giggl",2
"gimm",2
"giorgio",1
"girl",9
"girlfriend",3
"git",1
"give",33
"given",1
"glad",1
"glanc",6
"glare",1
"glass",15
"glide",1
"glisten",1
"glorious",1
"glower",1
"gman",1
"goal",2
"gobbl",2
"god",10
"godammit",1
"goddammit",1
"goddamn",5
"goe",19
"goggl",1
"goin",1
"gold",3
"golddigg",1
"goldenrod",1
"goldfish",2
"goldman",1
"golf",5
"gone",3
"gonna",29
"good",26
"goodby",1
"goodgood",1
"gordon",1
"gorgeous",5
"got",48
"gotta",17
"gotten",2
"govern",5
"grab",11
"grade",1
"graduat",1
"grail",1
"graini",1
"grand",5
